t	roll	pitch	yaw
1340.4400	0.0510	0.2552	-9.9684
1340.4450	0.0510	0.2552	-9.9684
1340.4500	0.1361	0.3220	-10.5702
1340.4550	0.1361	0.3220	-10.5702
1340.4600	0.0649	0.1972	-11.1732
1340.4650	0.0649	0.1972	-11.1732
1340.4700	0.2765	0.2515	-11.7735
1340.4750	0.2765	0.2515	-11.7735
1340.4800	-0.2293	0.4361	-12.3806
1340.4850	-0.2293	0.4361	-12.3806
1340.4900	-0.0015	0.2293	-12.9800
1340.4950	-0.0015	0.2293	-12.9800
1340.5000	0.1012	0.1324	-13.5808
1340.5050	0.1012	0.1324	-13.5808
1340.5100	0.0402	0.3305	-14.1830
1340.5150	0.0402	0.3305	-14.1830
1340.5200	0.0592	0.2467	-14.7842
1340.5250	0.0592	0.2467	-14.7842
1340.5300	0.1151	0.2222	-15.3851
1340.5350	0.1151	0.2222	-15.3851
1340.5400	0.0590	0.2648	-15.9867
1340.5450	0.0590	0.2648	-15.9867
1340.5500	0.0147	0.3002	-16.5882
1340.5550	0.0147	0.3002	-16.5882
1340.5600	0.0820	0.2733	-17.1884
1340.5650	0.0820	0.2733	-17.1884
1340.5700	0.0444	0.1586	-17.7896
1340.5750	0.0444	0.1586	-17.7896
1340.5800	-0.0235	0.0767	-18.3907
1340.5850	-0.0235	0.0767	-18.3907
1340.5900	0.0943	0.1067	-18.9903
1340.5950	0.0943	0.1067	-18.9903
1340.6000	-0.0749	0.3115	-19.5921
1340.6050	-0.0749	0.3115	-19.5921
1340.6100	-0.1778	-0.0626	-20.1928
1340.6150	-0.1778	-0.0626	-20.1928
1340.6200	0.2804	0.2077	-20.7894
1340.6250	0.2804	0.2077	-20.7894
1340.6300	0.0554	0.3184	-21.3913
1340.6350	0.0554	0.3184	-21.3913
1340.6400	0.0605	0.2508	-21.9912
1340.6450	0.0605	0.2508	-21.9912
1340.6500	0.0004	0.3532	-22.5915
1340.6550	0.0004	0.3532	-22.5915
1340.6600	0.1423	0.4102	-23.1897
1340.6650	0.1423	0.4102	-23.1897
1340.6700	0.3433	0.2885	-23.7876
1340.6750	0.3433	0.2885	-23.7876
