x_1	x_2	xref_1	xref_2	u_1
4.5660	1.1049	8.0000	8.0000	10.0000
4.5807	1.1104	8.0000	8.0000	10.0000
4.5953	1.1160	8.0000	8.0000	10.0000
4.6099	1.1215	8.0000	8.0000	10.0000
4.6245	1.1270	8.0000	8.0000	10.0000
4.6391	1.1325	8.0000	8.0000	10.0000
4.6537	1.1381	8.0000	8.0000	10.0000
4.6683	1.1436	8.0000	8.0000	10.0000
4.6828	1.1492	8.0000	8.0000	10.0000
4.6973	1.1547	8.0000	8.0000	10.0000
4.7118	1.1603	8.0000	8.0000	10.0000
4.7263	1.1658	8.0000	8.0000	10.0000
4.7408	1.1714	8.0000	8.0000	10.0000
4.7552	1.1769	8.0000	8.0000	10.0000
4.7697	1.1825	8.0000	8.0000	10.0000
4.7841	1.1881	8.0000	8.0000	10.0000
4.7985	1.1937	8.0000	8.0000	10.0000
4.8129	1.1992	8.0000	8.0000	10.0000
4.8273	1.2048	8.0000	8.0000	10.0000
4.8416	1.2104	8.0000	8.0000	10.0000
4.8560	1.2160	8.0000	8.0000	10.0000
4.8703	1.2216	8.0000	8.0000	10.0000
4.8846	1.2272	8.0000	8.0000	10.0000
4.8989	1.2328	8.0000	8.0000	10.0000
4.9131	1.2384	8.0000	8.0000	10.0000
4.9274	1.2440	8.0000	8.0000	10.0000
4.9416	1.2496	8.0000	8.0000	10.0000
4.9559	1.2552	8.0000	8.0000	10.0000
4.9701	1.2608	8.0000	8.0000	10.0000
4.9842	1.2665	8.0000	8.0000	10.0000
4.9984	1.2721	8.0000	8.0000	10.0000
5.0126	1.2777	8.0000	8.0000	10.0000
5.0267	1.2833	8.0000	8.0000	10.0000
5.0408	1.2890	8.0000	8.0000	10.0000
5.0550	1.2946	8.0000	8.0000	10.0000
5.0690	1.3002	8.0000	8.0000	10.0000
5.0831	1.3059	8.0000	8.0000	10.0000
5.0972	1.3115	8.0000	8.0000	10.0000
5.1112	1.3172	8.0000	8.0000	10.0000
5.1253	1.3228	8.0000	8.0000	10.0000
5.1393	1.3285	8.0000	8.0000	10.0000
5.1533	1.3342	8.0000	8.0000	10.0000
5.1673	1.3398	8.0000	8.0000	10.0000
5.1812	1.3455	8.0000	8.0000	10.0000
5.1952	1.3512	8.0000	8.0000	10.0000
5.2091	1.3568	8.0000	8.0000	10.0000
5.2230	1.3625	8.0000	8.0000	10.0000
5.2369	1.3682	8.0000	8.0000	10.0000
5.2508	1.3739	8.0000	8.0000	10.0000
5.2647	1.3796	8.0000	8.0000	10.0000
5.2786	1.3853	8.0000	8.0000	10.0000
5.2924	1.3910	8.0000	8.0000	10.0000
5.3062	1.3967	8.0000	8.0000	10.0000
5.3201	1.4023	8.0000	8.0000	10.0000
5.3338	1.4081	8.0000	8.0000	10.0000
5.3476	1.4138	8.0000	8.0000	10.0000
5.3614	1.4195	8.0000	8.0000	10.0000
5.3752	1.4252	8.0000	8.0000	10.0000
5.3889	1.4309	8.0000	8.0000	10.0000
5.4026	1.4366	8.0000	8.0000	10.0000
5.4163	1.4423	8.0000	8.0000	10.0000
5.4300	1.4480	8.0000	8.0000	10.0000
5.4437	1.4538	8.0000	8.0000	10.0000
5.4574	1.4595	8.0000	8.0000	10.0000
5.4710	1.4652	8.0000	8.0000	10.0000
5.4846	1.4710	8.0000	8.0000	10.0000
5.4982	1.4767	8.0000	8.0000	10.0000
5.5119	1.4824	8.0000	8.0000	10.0000
5.5254	1.4882	8.0000	8.0000	10.0000
5.5390	1.4939	8.0000	8.0000	10.0000
5.5526	1.4997	8.0000	8.0000	10.0000
5.5661	1.5054	8.0000	8.0000	10.0000
5.5796	1.5112	8.0000	8.0000	10.0000
5.5932	1.5169	8.0000	8.0000	10.0000
5.6067	1.5227	8.0000	8.0000	10.0000
5.6202	1.5284	8.0000	8.0000	10.0000
5.6336	1.5342	8.0000	8.0000	10.0000
5.6471	1.5400	8.0000	8.0000	10.0000
5.6605	1.5457	8.0000	8.0000	10.0000
5.6740	1.5515	8.0000	8.0000	10.0000
5.6874	1.5573	8.0000	8.0000	10.0000
5.7008	1.5631	8.0000	8.0000	10.0000
5.7142	1.5688	8.0000	8.0000	10.0000
5.7275	1.5746	8.0000	8.0000	10.0000
5.7409	1.5804	8.0000	8.0000	10.0000
5.7542	1.5862	8.0000	8.0000	10.0000
5.7676	1.5920	8.0000	8.0000	10.0000
5.7809	1.5978	8.0000	8.0000	10.0000
5.7942	1.6036	8.0000	8.0000	10.0000
5.8075	1.6094	8.0000	8.0000	10.0000
5.8207	1.6152	8.0000	8.0000	10.0000
5.8340	1.6210	8.0000	8.0000	10.0000
5.8472	1.6268	8.0000	8.0000	10.0000
5.8605	1.6326	8.0000	8.0000	10.0000
5.8737	1.6384	8.0000	8.0000	10.0000
5.8869	1.6442	8.0000	8.0000	10.0000
5.9001	1.6500	8.0000	8.0000	10.0000
5.9133	1.6558	8.0000	8.0000	10.0000
5.9264	1.6616	8.0000	8.0000	10.0000
5.9396	1.6674	8.0000	8.0000	10.0000
5.9527	1.6733	8.0000	8.0000	10.0000
5.9658	1.6791	8.0000	8.0000	10.0000
5.9789	1.6849	8.0000	8.0000	10.0000
5.9920	1.6907	8.0000	8.0000	10.0000
6.0051	1.6966	8.0000	8.0000	10.0000
6.0182	1.7024	8.0000	8.0000	10.0000
6.0312	1.7082	8.0000	8.0000	10.0000
6.0443	1.7141	8.0000	8.0000	10.0000
6.0573	1.7199	8.0000	8.0000	10.0000
6.0703	1.7257	8.0000	8.0000	10.0000
6.0833	1.7316	8.0000	8.0000	10.0000
6.0963	1.7374	8.0000	8.0000	10.0000
6.1093	1.7433	8.0000	8.0000	10.0000
6.1222	1.7491	8.0000	8.0000	10.0000
6.1352	1.7550	8.0000	8.0000	10.0000
6.1481	1.7608	8.0000	8.0000	10.0000
6.1610	1.7667	8.0000	8.0000	10.0000
6.1739	1.7725	8.0000	8.0000	10.0000
6.1868	1.7784	8.0000	8.0000	10.0000
6.1997	1.7843	8.0000	8.0000	10.0000
6.2126	1.7901	8.0000	8.0000	10.0000
6.2254	1.7960	8.0000	8.0000	10.0000
6.2382	1.8019	8.0000	8.0000	10.0000
6.2511	1.8077	8.0000	8.0000	10.0000
6.2639	1.8136	8.0000	8.0000	10.0000
6.2767	1.8195	8.0000	8.0000	10.0000
6.2895	1.8254	8.0000	8.0000	10.0000
6.3023	1.8312	8.0000	8.0000	10.0000
6.3150	1.8371	8.0000	8.0000	10.0000
6.3278	1.8430	8.0000	8.0000	10.0000
6.3405	1.8489	8.0000	8.0000	10.0000
6.3532	1.8548	8.0000	8.0000	10.0000
6.3659	1.8606	8.0000	8.0000	10.0000
6.3786	1.8665	8.0000	8.0000	10.0000
6.3913	1.8724	8.0000	8.0000	10.0000
6.4040	1.8783	8.0000	8.0000	10.0000
6.4166	1.8842	8.0000	8.0000	10.0000
6.4293	1.8901	8.0000	8.0000	10.0000
6.4419	1.8960	8.0000	8.0000	10.0000
6.4545	1.9019	8.0000	8.0000	10.0000
6.4672	1.9078	8.0000	8.0000	10.0000
6.4798	1.9137	8.0000	8.0000	10.0000
6.4923	1.9196	8.0000	8.0000	10.0000
6.5049	1.9255	8.0000	8.0000	10.0000
6.5175	1.9314	8.0000	8.0000	10.0000
6.5300	1.9373	8.0000	8.0000	10.0000
6.5425	1.9432	8.0000	8.0000	10.0000
6.5551	1.9491	8.0000	8.0000	10.0000
6.5676	1.9551	8.0000	8.0000	10.0000
6.5801	1.9610	8.0000	8.0000	10.0000
6.5926	1.9669	8.0000	8.0000	10.0000
6.6050	1.9728	8.0000	8.0000	10.0000
6.6175	1.9787	8.0000	8.0000	10.0000
6.6299	1.9847	8.0000	8.0000	10.0000
6.6424	1.9906	8.0000	8.0000	10.0000
6.6548	1.9965	8.0000	8.0000	10.0000
6.6672	2.0024	8.0000	8.0000	10.0000
